ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
212,set008-2-26-2020-A1_212.txt,T1,A-1,A,1,08,0.4,44585.41,17371.87,123.97,44461.44,1.0,44661.35,0.57
136,set008-2-26-2020-A2_136.txt,T1,A-2,A,2,08,0.37,26780.21,9792.68,0,26780.21,0.6,44509.11,0.51
96,set008-2-26-2020-A2_96.txt,T1,A-2,A,2,08,0,0,0,0,0,0,2180.87,0
193,set008-2-26-2020-A3_193.txt,T1,A-3,A,3,08,0,0,0,0,0,0,2208.51,0
211,set008-2-26-2020-A3_211.txt,T1,A-3,A,3,08,0,0,0,0,0,0,2100.83,0
225,set008-2-26-2020-A3_225.txt,T1,A-3,A,3,08,0.46,2720.94,1172.41,210.54,2456.25,0.56,4882.51,0.94
316,set008-2-26-2020-A3_316.txt,T1,A-3,A,3,08,0.34,881.17,295.3,0,881.17,0.45,1959.07,0.57
355,set008-2-26-2020-A3_355.txt,T1,A-3,A,3,08,0.23,4656.27,1044.23,0,4656.27,0.67,6908.63,0.32
388,set008-2-26-2020-A3_388.txt,T1,A-3,A,3,08,0.27,82.94,21.36,0,43.7,0.04,2105.27,0.36
40,set008-2-26-2020-A3_40.txt,T1,A-3,A,3,08,0.29,3605.61,996.48,0,3605.61,0.8,4531.51,0.39
90,set008-2-26-2020-A3_90.txt,T1,A-3,A,3,08,0.43,238.38,99.9,81.54,152.76,0.12,2040.59,0.49
119,set008-2-26-2020-A4_119.txt,T1,A-4,A,4,08,0.37,39.34,12.57,0,37.56,0.02,2041.99,0.49
140,set008-2-26-2020-A4_140.txt,T1,A-4,A,4,08,0.34,23.41,10.68,0,11.66,0.01,2100.77,0.51
231,set008-2-26-2020-A4_231.txt,T1,A-4,A,4,08,0.27,1430.75,382.63,0,1430.75,0.51,2789.79,0.39
307,set008-2-26-2020-A4_307.txt,T1,A-4,A,4,08,0.28,6351.22,1604.68,0,6351.22,0.94,6730.59,0.88
308,set008-2-26-2020-A4_308.txt,T1,A-4,A,4,08,0.37,175.97,64.09,165.7,165.7,0.08,2206.71,0.91
344,set008-2-26-2020-A4_344.txt,T1,A-4,A,4,08,0.21,13.45,2.51,0,13.45,0.01,1959.87,0.39
421,set008-2-26-2020-A4_421.txt,T1,A-4,A,4,08,0.32,424.33,135.08,0,416.24,0.2,2096.61,0.43
95,set008-2-26-2020-A4_95.txt,T1,A-4,A,4,08,0.24,52.43,13.19,0,24.28,0.01,6810.59,0.62
309,set008-2-26-2020-B1_309.txt,T1,B-1,B,1,08,0.31,23760.19,7282.63,0,18680.53,0.97,24480.71,0.45
437,set008-2-26-2020-B1_437.txt,T1,B-1,B,1,08,0.29,50.82,16.96,0,29.07,0.02,2255.27,0.33
105,set008-2-26-2020-B2_105.txt,T1,B-2,B,2,08,0,0,0,0,0,0,2782.91,0
249,set008-2-26-2020-B2_249.txt,T1,B-2,B,2,08,0.54,23226.2,12317.82,0,15314.52,0.95,24323.67,0.79
3,set008-2-26-2020-B2_3.txt,T1,B-2,B,2,08,0.34,219.51,74.77,202.95,202.95,0.11,2047.75,0.46
359,set008-2-26-2020-B2_359.txt,T1,B-2,B,2,08,0.27,38.15,23.88,0,24.33,0.02,1977.71,0.4
385,set008-2-26-2020-B2_385.txt,T1,B-2,B,2,08,0.19,679.12,5.03,0,659.71,0.31,2205.87,0.25
392,set008-2-26-2020-B2_392.txt,T1,B-2,B,2,08,0,0,1.26,0,0,0,2219.07,0
397,set008-2-26-2020-B2_397.txt,T1,B-2,B,2,08,0.25,216.16,6.28,198.44,198.44,0.09,2290.47,0.31
407,set008-2-26-2020-B2_407.txt,T1,B-2,B,2,08,0,0,0,0,0,0,2289.55,0
77,set008-2-26-2020-B2_77.txt,T1,B-2,B,2,08,0.33,4394.25,1333.25,0,4394.25,0.65,6759.91,0.55
112,set008-2-26-2020-B3_112.txt,T1,B-3,B,3,08,0,0,0.63,0,0,0,2837.99,0
120,set008-2-26-2020-B3_120.txt,T1,B-3,B,3,08,0.2,15.13,4.4,0,11.44,0.0,6655.11,0.26
200,set008-2-26-2020-B3_200.txt,T1,B-3,B,3,08,0.2,0,1.88,0,0,0,2338.51,0.23
265,set008-2-26-2020-B3_265.txt,T1,B-3,B,3,08,0.18,0,1.88,0,0,0,2341.47,0.26
31,set008-2-26-2020-B3_31.txt,T1,B-3,B,3,08,0,0,0,0,0,0,2177.07,0
