ID,sex,population,site,host_plant,short-wing?,latitude,longitude,field_date_collected
212,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
213,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
214,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
215,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
216,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
217,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
218,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
219,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
220,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
221,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
222,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
223,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
224,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
225,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
226,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
227,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
228,M,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
229,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
230,M,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
231,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
232,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
233,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
234,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
235,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
236,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
237,F,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
238,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
